run_date,city,platform,campaign_type,sub_metric,D1,LMTD,LM,MTD,MTD_vs_LMTD,PROJECTED,L7D,LL7D
2026-04-09,Bangalore,Meta,Facebook - Total,SPEND,97634.59,671090.94,2739830.43,940080.9,40.1,3133603.0,726526.86,737385.58
2026-04-09,Bangalore,Meta,Facebook - Total,CLICKS,17407,95386,484396,165866,73.9,552886,123342,158170
2026-04-09,Bangalore,Meta,Facebook - Total,CPC,5.61,7.04,5.66,5.67,,,5.89,4.66
2026-04-09,Chandigarh,Google,Google - PMAX,SPEND,6360.09,55332.14,174669.59,54642.25,-1.2,182140.83,43282.91,37073.42
2026-04-09,Chandigarh,Google,Google - PMAX,CLICKS,5430,60364,176189,42850,-29.0,142833,35264,14689
2026-04-09,Chandigarh,Google,Google - PMAX,CPC,1.17,0.92,0.99,1.28,,,1.23,2.52
2026-04-09,Chandigarh,Google,Google - UACi,SPEND,2650.41,23291.11,77388.22,24040.82,3.2,80136.07,19300.63,16343.55
2026-04-09,Chandigarh,Google,Google - UACi,CLICKS,230,2792,8452,2345,-16.0,7816,1818,1785
2026-04-09,Chandigarh,Google,Google - UACi,CPC,11.52,8.34,9.16,10.25,,,10.62,9.16
2026-04-09,Chandigarh,Google,Google - UACe,SPEND,2860.25,25030.27,84063.1,29425.4,17.6,98084.67,23527.61,18159.94
2026-04-09,Chandigarh,Google,Google - UACe,CLICKS,606,5310,18800,6025,13.5,20083,4845,3674
2026-04-09,Chandigarh,Google,Google - UACe,CPC,4.72,4.71,4.47,4.88,,,4.86,4.94
2026-04-09,Chandigarh,Google,Google - Search,SPEND,1565.55,11368.68,44198.48,14164.59,24.6,47215.3,11116.09,10550.24
2026-04-09,Chandigarh,Google,Google - Search,CLICKS,341,2916,10844,3596,23.3,11986,2849,2336
2026-04-09,Chandigarh,Google,Google - Search,CPC,4.59,3.9,4.08,3.94,,,3.9,4.52
2026-04-09,Chandigarh,Google,Google - Total,SPEND,13436.31,115022.21,380319.39,122273.06,6.3,407576.87,97227.23,82127.14
2026-04-09,Chandigarh,Google,Google - Total,CLICKS,6607,71382,214285,54816,-23.2,182720,44776,22484
2026-04-09,Chandigarh,Google,Google - Total,CPC,2.03,1.61,1.77,2.23,,,2.17,3.65
2026-04-09,Chandigarh,Meta,Facebook - Catalog,SPEND,11696.44,106813.09,382166.48,113825.54,6.6,379418.47,88945.23,85930.34
2026-04-09,Chandigarh,Meta,Facebook - Catalog,CLICKS,1881,19564,63674,19253,-1.6,64176,15134,13977
2026-04-09,Chandigarh,Meta,Facebook - Catalog,CPC,6.22,5.46,6.0,5.91,,,5.88,6.15
2026-04-09,Chandigarh,Meta,Facebook - Conversion,SPEND,2862.67,25866.68,91232.04,28902.44,11.7,96341.47,22545.02,20905.34
2026-04-09,Chandigarh,Meta,Facebook - Conversion,CLICKS,242,2064,7021,2480,20.2,8266,1881,1840
2026-04-09,Chandigarh,Meta,Facebook - Conversion,CPC,11.83,12.53,12.99,11.65,,,11.99,11.36
2026-04-09,Chandigarh,Meta,Facebook - Total,SPEND,14559.11,132679.77,473398.52,142727.98,7.6,475759.93,111490.25,106835.68
2026-04-09,Chandigarh,Meta,Facebook - Total,CLICKS,2123,21628,70695,21733,0.5,72443,17015,15817
2026-04-09,Chandigarh,Meta,Facebook - Total,CPC,6.86,6.13,6.7,6.57,,,6.55,6.75
2026-04-09,Chennai,Google,Google - PMAX,SPEND,21531.79,133573.86,549420.83,180511.59,35.1,601705.3,132969.54,154325.58
2026-04-09,Chennai,Google,Google - PMAX,CLICKS,14255,78988,548963,135108,71.0,450360,95727,152947
2026-04-09,Chennai,Google,Google - PMAX,CPC,1.51,1.69,1.0,1.34,,,1.39,1.01
2026-04-09,Chennai,Google,Google - UACi,SPEND,7906.91,58742.14,199761.18,68413.2,16.5,228044.0,54741.79,43337.03
2026-04-09,Chennai,Google,Google - UACi,CLICKS,859,7475,24386,7811,4.5,26036,6333,5160
2026-04-09,Chennai,Google,Google - UACi,CPC,9.2,7.86,8.19,8.76,,,8.64,8.4
2026-04-09,Chennai,Google,Google - UACe,SPEND,4438.02,22113.59,85144.64,51049.48,130.9,170164.93,42933.23,30058.4
2026-04-09,Chennai,Google,Google - UACe,CLICKS,1254,3502,13839,11396,225.4,37986,10220,4704
2026-04-09,Chennai,Google,Google - UACe,CPC,3.54,6.31,6.15,4.48,,,4.2,6.39
2026-04-09,Chennai,Google,Google - Search,SPEND,1341.5,0,0,7357.51,,24525.03,7357.51,0
2026-04-09,Chennai,Google,Google - Search,CLICKS,419,0,0,1098,,3660,1098,0
2026-04-09,Chennai,Google,Google - Search,CPC,3.2,0.0,0.0,6.7,,,6.7,0.0
2026-04-09,Chennai,Google,Google - Total,SPEND,35218.22,214429.6,834326.65,307331.77,43.3,1024439.23,238002.06,227721.02
2026-04-09,Chennai,Google,Google - Total,CLICKS,16787,89965,587188,155413,72.7,518043,113378,162811
2026-04-09,Chennai,Google,Google - Total,CPC,2.1,2.38,1.42,1.98,,,2.1,1.4
2026-04-09,Chennai,Meta,Facebook - Catalog,SPEND,20018.53,92855.34,407118.23,192137.59,106.9,640458.63,150373.45,138377.73
2026-04-09,Chennai,Meta,Facebook - Catalog,CLICKS,5899,20537,102815,53206,159.1,177353,41633,37650
2026-04-09,Chennai,Meta,Facebook - Catalog,CPC,3.39,4.52,3.96,3.61,,,3.61,3.68
2026-04-09,Chennai,Meta,Facebook - Conversion,SPEND,6613.55,32061.36,124317.29,62549.41,95.1,208498.03,50451.4,38117.01
2026-04-09,Chennai,Meta,Facebook - Conversion,CLICKS,703,2352,9331,5552,136.1,18506,4423,3279
2026-04-09,Chennai,Meta,Facebook - Conversion,CPC,9.41,13.63,13.32,11.27,,,11.41,11.62
2026-04-09,Chennai,Meta,Facebook - Total,SPEND,26632.08,124916.7,531435.52,254687.0,103.9,848956.67,200824.85,176494.74
2026-04-09,Chennai,Meta,Facebook - Total,CLICKS,6602,22889,112146,58758,156.7,195860,46056,40929
2026-04-09,Chennai,Meta,Facebook - Total,CPC,4.03,5.46,4.74,4.33,,,4.36,4.31
2026-04-09,Coimbatore,Google,Google - PMAX,SPEND,6384.05,41718.57,168065.86,51552.79,23.6,171842.63,40744.84,38415.21
2026-04-09,Coimbatore,Google,Google - PMAX,CLICKS,2833,49200,170797,33618,-31.7,112060,26397,33797
2026-04-09,Coimbatore,Google,Google - PMAX,CPC,2.25,0.85,0.98,1.53,,,1.54,1.14
2026-04-09,Coimbatore,Google,Google - UACi,SPEND,659.03,7832.77,24523.89,5952.94,-24.0,19843.13,4569.73,3892.5
2026-04-09,Coimbatore,Google,Google - UACi,CLICKS,96,1393,4412,971,-30.3,3236,734,766
2026-04-09,Coimbatore,Google,Google - UACi,CPC,6.86,5.62,5.56,6.13,,,6.23,5.08
2026-04-09,Coimbatore,Google,Google - UACe,SPEND,840.07,9081.2,32522.1,12005.93,32.2,40019.77,9953.68,8206.05
2026-04-09,Coimbatore,Google,Google - UACe,CLICKS,265,2963,11175,3814,28.7,12713,3244,2662
2026-04-09,Coimbatore,Google,Google - UACe,CPC,3.17,3.06,2.91,3.15,,,3.07,3.08
2026-04-09,Coimbatore,Google,Google - Search,SPEND,0,2629.5,2629.5,0,-100.0,0.0,0,0
2026-04-09,Coimbatore,Google,Google - Search,CLICKS,0,688,688,0,-100.0,0,0,0
2026-04-09,Coimbatore,Google,Google - Search,CPC,0.0,3.82,3.82,0.0,,,0.0,0.0
2026-04-09,Coimbatore,Google,Google - Total,SPEND,7883.14,61262.05,227741.35,69511.65,13.5,231705.5,55268.25,50513.76
2026-04-09,Coimbatore,Google,Google - Total,CLICKS,3194,54244,187072,38403,-29.2,128010,30375,37225
2026-04-09,Coimbatore,Google,Google - Total,CPC,2.47,1.13,1.22,1.81,,,1.82,1.36
2026-04-09,Coimbatore,Meta,Facebook - Catalog,SPEND,4438.01,31289.9,92623.12,39907.66,27.5,133025.53,33259.54,20196.32
